Name,first,affiliation,occupation,epithet,status,age,bounty,residence,dfname,last_bounty,latest_age,main_crew
Catarina Devon,Chapter 575; Episode 484[2],Blackbeard Pirates; Impel Down (former)[3],Pirate; Titanic Captain (Captain of the Sixth Ship); Prisoner of the Great Prison (former)[3],"""Crescent Moon Hunter"" (若月狩り, Mikazuki-gari?)[3]",Alive,34 (debut)36 (after timeskip)[4],Unknown[6],,"Inu Inu no Mi, Model: Kyubi no Kitsune",,36,Blackbeard Pirates
Vasco Shot,Chapter 575; Episode 484[1],Blackbeard Pirates;[1][2] Impel Down[3] (former),Pirate; Titanic Captain (Captain of the Eighth Ship);[4] Prisoner of the Great Prison[3] (former),"""Heavy Drinker"" Vasco Shot (大酒のバスコ・ショット, Ōzake no Basuko Shotto?)[3]",Alive,36 (debut)38 (after timeskip)[4],Unknown[6],,Gabu Gabu no Mi,,38,Blackbeard Pirates
Avalo Pizarro,Chapter 575; Episode 484[1],Blackbeard Pirates[1]; Impel Down (former),Pirate[1]; Titanic Captain (Captain of the Fourth Ship); Prisoner of the Great Prison (former); King (former),"""Corrupt King"" (悪政王, Akusei-Ō?)[1]",Alive,40 (debut)42 (after timeskip)[2],Unknown[4],,Shima Shima no Mi,,42,Blackbeard Pirates 
Julius,Chapter 578; Episode 489[1],Ally of the Whitebeard Pirates[1],Pirate; Captain[1],,Alive,,,,,,,Ally of the Whitebeard Pirates 
Happygun,Chapter 578; Episode 487[1],Whitebeard Pirates[1],Pirate; Captain[1],,Alive,,,,,,,Whitebeard Pirates 
Gab,Chapter 580; Episode 489[1],Red Hair Pirates[1],Pirate; Senior Officer[1],"""Howling"" Gab (“ハウリング”ガブ, ""Hauringu"" Gabu?)[2]",Alive,,,,,,,Red Hair Pirates 
Chadros Higelyges,Chapter 581; Episode 490[2],"Caesar Clown (defected),[3] Centaur Patrol Unit[4] (defected); Brownbeard Pirates[2] (disbanded)[5]",Leader of the Centaur Patrol Unit[4] (former); Pirate; Captain [2] (former[5]),"""Brownbeard"" (茶ひげ, Chahige?);""Boss"" (as Centaur Patrol Unit Leader)[4]",Alive,43 (debut)45 (after timeskip)[7],"80,060,000[4]",,,80060000.0,45,"Caesar Clown  ,  Centaur Patrol Unit   "
Dobby Ibadonbo,Chapter 531; Episode 432[2],,Prisoner of Impel Down[2],,Unknown,,,,,,,
Dogra,Chapter 582; Episode 493,Dadan Family,Bandit,,Alive,,,Mt. Colubo,,,,Dadan Family
Magra,Chapter 582; Episode 493,Dadan Family,Bandit,,Alive,,,Mt. Colubo,,,,Dadan Family
Bluejam,Chapter 584; Episode 494[1],Bluejam Pirates[1],Pirate; Captain[1],,Unknown,42 (debut)[2],"14,300,000[2]",,,14300000.0,42,Bluejam Pirates 
Porchemy,Chapter 583; Episode 494[1],Bluejam Pirates[1],Pirate[1],,Deceased,,"3,400,000[3]",,,3400000.0,,Bluejam Pirates 
Sabo,Chapter 583; Episode 494[1],Revolutionary Army;Dadan Family (former);Goa Kingdom (defected),"Chief of Staff (参謀総長, Sanbō Sōchō?) of the Revolutionary Army;[2] Noble (former);[3] Pirate (former); Thief (former); Bandit (former)","""Flame Emperor"" (炎帝, Entei?)[5]",Alive,"10 (Flashback, debut)[1]22 (After timeskip)[6]","602,000,000[8]",Goa Kingdom (former); Mt. Colubo (former); Baltigo (former); Momoiro Island,Mera Mera no Mi,602000000.0,22,Revolutionary Army
Dogra,Chapter 582; Episode 493,Dadan Family,Bandit,,Alive,,,Mt. Colubo,,,,Dadan Family
Magra,Chapter 582; Episode 493,Dadan Family,Bandit,,Alive,,,Mt. Colubo,,,,Dadan Family
Outlook III,Chapter 585; Episode 496[1],Goa Kingdom (High Town)[1],Noble[1],,Alive,,,,,,,Goa Kingdom   
Didit,Chapter 585; Episode 496[1],Goa Kingdom[1],Noble[1],,Alive,,,,,,,Goa Kingdom 
Sterry,Chapter 586; Episode 500[1],Goa Kingdom,King of the Goa Kingdom; Noble (former),,Alive,8 (debut)[1]20 (currently)[2],,Goa Kingdom,,,20,Goa Kingdom
Goa Kingdom,Chapter 585; Episode 496,,,,,,,,,,,
Jalmack,Chapter 588; Episode 502[1],World Government[1],World Noble[1],,Alive,,,Mary Geoise,,,,World Government 
Karasu,Chapter 593; Episode 510[1],Revolutionary Army (North Army)[2],North Army Commander of the Revolutionary Army[2],,Alive,45 (debut)47 (after timeskip)[3],"400,000,000[3]",Baltigo (former); Momoiro Island,Susu Susu no Mi,400000000.0,47,Revolutionary Army   
Haritsu Kendiyo,"Chapter 594, Episode 511[1]",,Pirate; Captain,,Unknown,,,,,,,
Kibin,"Chapter 594, Episode 475[1]",Marines,Marine Commodore,,Alive,,,,,,,Marines
Fishbonen,Chapter 594; Episode 511[1],Marines,Doctor,"Dr. Fishbonen (Dr.フィッシュボーネン, Dokutā Fisshubōnen?)",Alive,,,,,,,Marines
Kong,Chapter 0; Episode 0[1],World Government; Marines (former),Commander-in-Chief; Fleet Admiral (former),,Alive,,,,,,,World Government
Scotch,Chapter 595; Episode 513[1],Beasts Pirates[1],Pirate[1],"""Iron Boy"" (アイアンボーイ, Aian Bōi?)",Unknown,,,,,,,Beasts Pirates 
Gorilla,"Chapter 596, Episode 514[1]",Marines[1],Marine Captain[1],,Alive,,,,,,,Marines 
Demaro Black,Chapter 598; Episode 517[1],Fake Straw Hat Crew[1],Pirate; Captain[1],"""Three-Tongued"" Demaro Black (三枚舌のデマロ・ブラック, Sanmai-jita no Demaro Burakku?)(Viz, Funimation: ""Triple-Tongued"")",Alive,36[2],"26,000,000",,,26000000.0,36,Fake Straw Hat Crew 
Manjaro,Chapter 598; Episode 518[2],Fake Straw Hat Crew[2],Pirate[2],,Unknown,25[3],,,,,25,Fake Straw Hat Crew 
Chocolat,Chapter 598; Episode 517[2],Fake Straw Hat Crew[2],Pirate[2],,Unknown,26[3],,,,,26,Fake Straw Hat Crew 
Mounblutain,Chapter 598; Episode 517[2],Fake Straw Hat Crew[2],Pirate[2],,Unknown,30[3],,,,,30,Fake Straw Hat Crew 
Drip,Chapter 598; Episode 518[1],Fake Straw Hat Crew[1],Pirate[1],,Unknown,24[2],,,,,24,Fake Straw Hat Crew 
Nora Gitsune,Chapter 598; Episode 518[2],Fake Straw Hat Crew[2],Pet,,Alive,13[3],,,,,13,Fake Straw Hat Crew 
Cocoa,Chapter 598; Episode 518[1],Fake Straw Hat Crew[1],Pirate[1],,Alive,27[2],,,,,27,Fake Straw Hat Crew 
Turco,Chapter 598; Episode 517[2],Fake Straw Hat Crew[2],Pirate[2],,Unknown,45[3],,,,,45,Fake Straw Hat Crew 
Caribou,Chapter 600; Episode 519[1],"Caribou Pirates;[2] Fake Straw Hat Crew (former, temporary)[3]",Pirate Captain;[1][2] Kidnapper[4],"""Wet-Haired Caribou"" (濡れ髪のカリブー, Nuregami no Karibū?)[2]",Alive,32[5],"210,000,000[2]",,Numa Numa no Mi,210000000.0,32,Caribou Pirates
Coribou,Chapter 600; Episode 519[1],"Caribou Pirates;[2] Fake Straw Hat Crew (former, temporary)[3][1]",Pirate; Captain[1][2],"""Blood-Splatterer"" Coribou (返り血のコリブー, Kaerichi no Koribū?)[2]",Alive,29[5],"190,000,000[2]",,,190000000.0,29,Caribou Pirates
Humphrey,Chapter 598; Episode 517,Sabaody Archipelago,Bartender,,Alive,,,,,,,Sabaody Archipelago
Albion,Chapter 600; Episode 519[1],Fake Straw Hat Crew (Former);[1] His own crew[1],Pirate; Captain[1],"""Gashed Albion"" (深手のアルビオン, Fukade no Arubion?)[1]",Alive,,"92,000,000[1]",,,92000000.0,,Fake Straw Hat Crew  
Lip Doughty,Chapter 600; Episode 519[1],Fake Straw Hat Crew;[1] His own crew[1],Pirate; Captain[1],"Lip ""Service"" Doughty (リップ・""サービス""・ドウティ, Rippu Sābisu Douti?)[1]",Alive,,"88,000,000[1]",,,88000000.0,,Fake Straw Hat Crew
Rosy Life Riders,Chapter 491; Episode 386[1],Straw Hat Pirates,Slave Trader (Former),,,,,,,,,Straw Hat Pirates
Catacombo,Chapter 602; Episode 522[1],Marines[1],Rear Admiral[1],,Alive,,,Sabaody Archipelago[2],,,,Marines 
Surume,Chapter 604; Episode 524[1],Straw Hat Pirates[2]; New Fish-Man Pirates (defected)[3],Pet; Slave (former),,Alive,120[5],,,,,120,Straw Hat Pirates 
Megalo,Chapter 605; Episode 525[1],Ryugu Kingdom[2],Shirahoshi's pet[3],,Alive,,,,,,,Ryugu Kingdom 
Vander Decken IX,Chapter 606; Episode 525[1],Flying Pirates;[2] Ally of the New Fish-Man Pirates (former),Pirate; Captain[2],,Alive,35[3],Unknown[3],,Mato Mato no Mi,,35,Flying Pirates
Wadatsumi,Chapter 606; Episode 525[1],Sun Pirates;[2] Flying Pirates (former)[1],Pirate[1],"""Large Monk"" (大入道, Ōnyūdō?, ""Giant Monk"" in the FUNimation subs)",Alive,25[3],,,,,25,Sun Pirates
Ankoro,Chapter 606; Episode 525[1],Flying Pirates[1],Pet,,Alive,,,,,,,Flying Pirates 
Hammond,Chapter 607; Episode 526[1],New Fish-Man Pirates[2],Pirate;Combatant,,Alive,,,,,,,New Fish-Man Pirates 
Hyouzou,Chapter 607; Episode 527[1],New Fish-Man Pirates[2],Mercenary[3]; Pirate; Assassin[2]; Pirate Officer; Swordsman[4],,Alive,39[5],,,,,39,New Fish-Man Pirates 
Kasagoba,Chapter 607; Episode 527[1],New Fish-Man Pirates[1],Pirate[1],,Alive,,,,,,,New Fish-Man Pirates 
Sea Beast,"Chapter 73, Episode 31[1]",,,,,,,,,,,
Hody Jones,Chapter 608; Episode 527[2],New Fish-Man Pirates;[3] Ally of the Flying Pirates (former); Ryugu Kingdom (former)[4],Pirate; Captain;[3] Soldier (former)[4],,Alive,30[5],,,,,30,New Fish-Man Pirates
Medaka Mermaid Quintuplets,Chapter 608; Episode 527[1],Neutral,,,Alive,,,,,,,Neutral
Ishilly,Chapter 608; Episode 527[2],Mermaid Café,Dancer,,Alive,,,,,,,Mermaid Café
Kairen,Chapter 608; Episode 527[1],Mermaid Cafe,Dancer,,Alive,,,,,,,Mermaid Cafe
Hiramera,Chapter 608; Episode 527[1],Mermaid Café[2],Dancer[3],,Alive,,,,,,,Mermaid Café 
Seira,Chapter 608; Episode 527[1],Mermaid Cafe,Dancer,,Alive,,,,,,,Mermaid Cafe
Mero,Chapter 608; Episode 527[1],Mermaid Cafe,Dancer,,Alive,,,,,,,Mermaid Cafe
Lulis,Chapter 608; Episode 527[2],Mermaid Cafe,Dancer,,Alive,,,,,,,Mermaid Cafe
Adele,Chapter 608; Episode 527[2],Mermaid Café[3],Dancer[3],,Alive,,,Fish-Man Island[2],,,,Mermaid Café 
Fillonce,Chapter 608; Episode 527[2],Mermaid Café,Dancer,,Alive,,,,,,,Mermaid Café
Sora,Chapter 608; Episode 527[2],Mermaid Cafe,Dancer,,Alive,,,,,,,Mermaid Cafe
Fukaboshi,Chapter 609; Episode 528[1],Neptune Family[1],Prince of the Ryugu Kingdom[1],,Alive,24[2],,Fish-Man Island[1],,,24,Neptune Family 
Ryuboshi,Chapter 609; Episode 528[1],Neptune Family[2],Prince of the Ryugu Kingdom[2],,Alive,23[3],,Fish-Man Island[2],,,23,Neptune Family 
Manboshi,Chapter 609; Episode 528[1],Neptune Family[2],Prince of the Ryugu Kingdom[2],,Alive,20[3],,Fish-Man Island[2],,,20,Neptune Family 
Ammo Knights,Chapter 609; Episode 528[1],Neptune Family; Ryugu Kingdom,Guards,,Active,,,,,,,Neptune Family
Splash and Splatter,Chapter 610; Episode 529,,Pirates,,Alive,,,,,,,
Shyarly,Chapter 610; Episode 529[1],Mermaid Cafe[2],Proprietor of the Mermaid Cafe;[2] Fortune teller (former)[3],"Madam Shyarly (マダム・シャーリー, Madamu Shārī?)",Alive,29[5],,,,,29,Mermaid Cafe 
Gyro,Chapter 611; Episode 530[1],"Gyro Pirates[2], New Fish-Man Pirates (ruse, former)",Pirate; Captain[1],"""Crab-Hand Gyro"" (蟹手のジャイロ, Kanite no Jairo?)[1]",Alive,,"73,000,000[1]",,,73000000.0,,"Gyro Pirates , New Fish-Man Pirates  "
Dosun,Chapter 611; Episode 530[1],New Fish-Man Pirates[2],Pirate; Pirate Officer[2],,Alive,30[4],,,,,30,New Fish-Man Pirates 
Zeo,Chapter 611; Episode 530,New Fish-Man Pirates[1],Pirate; Pirate Officer[1],"""Noble of the Fish-Man District"" (魚人街の貴族, Gyojin-gai no Kizoku?)[3]",Alive,30[2],,,,,30,New Fish-Man Pirates 
Daruma,Chapter 611; Episode 530[1],New Fish-Man Pirates[1],Pirate; Pirate Officer[1],,Alive,30[3],,,,,30,New Fish-Man Pirates 
Ikaros Much,Chapter 611; Episode 530[1],New Fish-Man Pirates[1],Pirate; Pirate Officer[1],,Alive,30[3],,,,,30,New Fish-Man Pirates 
Junan,Chapter 611; Episode 530[1],Criminal[1],Cashier[1],,Alive,,,,,,,Criminal 
Neptune,Chapter 611; Episode 530[1],Neptune Family; Ryugu Kingdom[2][1],Captain of the Royal Guard (former); King of the Ryugu Kingdom[2][1],"God of the Sea (海神, Kaishin?);[2] Great Knight of the Sea (海の大騎士, Umi no Dai-kishi?)[4]",Alive,70[3],,,,,70,Neptune Family
Hoe,Chapter 611; Episode 530[1],King Neptune,Neptune's transportation and pet,,Alive,,,,,,,King Neptune
Shirahoshi,Chapter 612; Episode 531[1],Neptune Family; Ryugu Kingdom[2],Princess of the Ryugu Kingdom[2],"""Mermaid Princess"" (人魚姫, Ningyo Hime?)[4]",Alive,16[5],,,,,16,Neptune Family
Minister of the Right,Chapter 612; Episode 531[1],Ryugu Kingdom,Minister of Ryugu Kingdom,,Alive,55[2],,,,,55,Ryugu Kingdom
Minister of the Left,Chapter 612; Episode 531,Ryugu Kingdom,Minister of Ryugu Kingdom,,Alive,62[1],,,,,62,Ryugu Kingdom
Den,Chapter 616;[1] Episode 534[2],,Shipwright; Sea Forest Researcher; Coating Mechanic,,Alive,62[3],,,,,62,
Harisenbon,Chapter 617; Episode 555,New Fish-Man Pirates[1],Pirate;[1] Sea Urchin Armor Spine Squad Commander[2],,Alive,,,,,,,New Fish-Man Pirates 
Aladine,Chapter 620; Episode 540[1],Sun Pirates; Ryugu Kingdom (former)[2],Pirate; Doctor; First Mate;[3] Soldier (former); Slave (former)[2],,Alive,46[4],Unknown[4],,,,46,Sun Pirates
Sarfunkel,Chapter 620 Cover Page[1]; One Piece Film: Red (credits)[2],Gaimon[1],,,Alive,,,Island of Rare Animals[1],,,,Gaimon 
Otohime,"Chapter 621; Episode 539 (image), Episode 540[1]",Neptune Family; Ryugu Kingdom[2],Queen of the Ryugu Kingdom[2],"Incarnation of Love (愛の化身, Ai no Keshin?)[3]",Deceased,,,,,,,Neptune Family
Papaneel,Chapter 621; Episode 540[1],,Robber (formerly),,Alive,,,,,,,
Kadar,Chapter 622; Episode 541[1],"Marines, G-2[1]",Marine Rear Admiral[1],,Unknown,,,,,,,"Marines, G-2 "
Koala,Chapter 622; Episode 541[1],Revolutionary Army;[2] Sun Pirates (former);[1] Slavery (former)[1],Revolutionary Army Officer;[3] Assistant Fish-Man Karate Instructor;[2] Slave (former)[1],,Alive,11 (debut);[1]23 (present day)[5],Unknown[6],Baltigo (former); Foolshout Island (former); Mary Geoise (former); Momoiro Island,,,23,Revolutionary Army
Donquixote Mjosgard,Chapter 625; Episode 545[1],World Government (Donquixote Family),World Noble,,Deceased,,,Mary Geoise,,,,World Government  
Aladine,Chapter 620; Episode 540[1],Sun Pirates; Ryugu Kingdom (former)[2],Pirate; Doctor; First Mate;[3] Soldier (former); Slave (former)[2],,Alive,46[4],Unknown[4],,,,46,Sun Pirates
Daidalos,Chapter 630; Episode 550,,,,Deceased,,,,,,,
Ipponume,Chapter 97; Episode 49[2],Loguetown Arms Shop,Arms Shop Proprietress,,Alive,,,Loguetown,,,,Loguetown Arms Shop
Maria Napole,Chapter 649; Episode 569[1],Fish-Man Island[1],Singer[1],,Alive,,,,,,,Fish-Man Island 
Charlotte Pudding,Chapter 651; Episode 571[1],Charlotte Family;[2] Big Mom Pirates[3],Pirate Officer;[3] Chocolatier; Cafe Owner[4],,Alive,16[6],,Cacao Island[4],Memo Memo no Mi,,16,Charlotte Family
Pekoms,Chapter 651; Episode 570[1],Big Mom Pirates;[1] Nox Pirates (former)[2],Combatant;[1] Broker[3],,Unknown,27[8],"330,000,000[5]",Zou (former)[6],Kame Kame no Mi,330000000.0,27,Big Mom Pirates
Tamago,Chapter 651; Episode 570[1],Big Mom Pirates[1],Combatant;[1] Broker,"""Baron Tamago"" (タマゴ男爵, Tamago Danshaku?)",Alive,46[2],"429,000,000[4]",Whole Cake Island,Tama Tama no Mi,429000000.0,46,Big Mom Pirates 
Bobbin,Chapter 651; Episode 571[1],Big Mom Pirates[1],Combatant,"""Sweeper"" (始末屋, Shimatsu-ya?, Viz: ""the Disposer"")[2]",Unknown,,"105,500,000[3]",Whole Cake Island,,105500000.0,,Big Mom Pirates 
Napoleon,Chapter 651; Episode 571[1],Big Mom Pirates[2],,"""Napoleon the Bicorne"" (二角帽のナポレオン, Baikōn no Naporeon?)[3]",Unknown,At least 25[4],,Whole Cake Island,,,25,Big Mom Pirates 
Nitro,Chapter 651; Episode 571[1],Big Mom Pirates; Cacao Island[2],,,Alive,,,,,,,Big Mom Pirates
Pike,Chapter 652; Episode 572[1],Marines; G-5[1],,,Alive,,,,,,,Marines
Bomba,Chapter 652[1]; Episode 589[2],Marines; G-5[1],Marine,,Alive,,,,,,,Marines
Dragon Number Thirteen,Chapter 655; Episode 579[1],,Guard,,Deceased,,,Punk Hazard,,,,
Kin'emon,Chapter 656; Episode 580[1],Kozuki Family;[2] Ninja-Pirate-Mink-Samurai Alliance;[3] Nine Red Scabbards[4],Samurai;[5] Retainer of the Kozuki Family;[2] Leader of the Nine Red Scabbards;[4] Thief (former) [6],"""Foxfire Kin'emon"" (狐火の錦えもん, Kitsune-bi no Kin'emon?)[8]",Alive,36[7] (born 56 years ago),,Wano Country (Kuri)[5],Fuku Fuku no Mi,,36,Kozuki Family
Monet,Chapter 657; Episode 581[1],Caesar Clown (espionage); Donquixote Pirates[2][3],Caesar's secretary (Undercover); Doflamingo's spy;[2] Pirate Officer[3],,Deceased,,,Punk Hazard (former); Dressrosa (former),Yuki Yuki no Mi[7],,,Caesar Clown  
Sind,Chapter 657; Episode 582[1],,,,Alive,,,,,,,
Mocha,Chapter 657; Episode 582[1],,,,Alive,9[2],,,,,9,
Konbu,Chapter 657; Episode 582[1],,,,Alive,,,,,,,
Caesar Clown,Chapter 658; Episode 581[1],Germa Kingdom; NEO MADS;[2] Fire Tank Pirates (former);[3] Donquixote Pirates (former);[4][5] Marines and World Government (former);[6] MADS (former)[7],Scientist[6],"""Master"" (M, Masutā?)[1]",Alive,55[10],"300,000,000[12]",Punk Hazard (Third Research Institute)(former),Gasu Gasu no Mi,300000000.0,55,Germa Kingdom
Hyoutauros,Chapter 658[1]; Episode 582,Caesar Clown; Centaur Patrol Unit[1],,,Alive,,,,,,,Caesar Clown
Kirintauros,Chapter 658; Episode 582[1],Caesar Clown; Centaur Patrol Unit[1],,,Alive,,,,,,,Caesar Clown
Doran,Chapter 657; Episode 583[1],,,,Alive,,,,,,,
Uzu,Chapter 658; Episode 583[1],,,,Alive,,,,,,,
Biyo,Chapter 658; Episode 583[1],,,,Alive,,,,,,,
Ally,Chapter 658; Episode 583[1],,,,Alive,,,,,,,
Minochihuahua,Chapter 662[1],Impel Down,Jailer Beast,,Alive,,,,,,,Impel Down
Yeti Cool Brothers,Chapter 665; Episode 591[1],Caesar Clown[1],Mercenaries;[1] Assassins;[2] Snipers,"""Killers of the Snowy Mountain"" (雪山の殺し屋, Yukiyama no Koroshiya?)[1]",Unknown,25[2],"20,000,000 (each)[3]",,,20000000.0,25,Caesar Clown 
Smooge,Chapter 668;[1] Episode 592,Caesar Clown,,"""Rebar"" Smooge (鉄筋のスムージ, Tekkin no Sumūji?)",Alive,,,,,,,Caesar Clown
Fen Bock,Chapter 668; Episode 593[1],Caesar Clown,,"Fen Bock of the Gourd (瓢箪フェン・ボック, Hyōtan Fen Bokku?)",Alive,,,,,,,Caesar Clown
Chappe,Chapter 668[1]; Episode 593,Caesar Clown[1],,"""Rope-Tugging"" Chappe (縄引きのチャッペ, Nawahiki no Chappe?)",Alive,,,,,,,Caesar Clown 
Smiley,Chapter 668; Episode 594[1],Caesar Clown,"Pet, Bio-Chemical weapon of mass destruction",,Deceased,,,,"Sara Sara no Mi, Model: Axolotl",,,Caesar Clown
Smiley,Chapter 668; Episode 594[1],Caesar Clown,"Pet, Bio-Chemical weapon of mass destruction",,Deceased,,,,"Sara Sara no Mi, Model: Axolotl",,,Caesar Clown
Vergo,Chapter 671; Episode 597[1],Donquixote Pirates;[2] Marines[3] (undercover);[2] Marine G-5[3] (undercover)[2],"Pirate[2] Elite Officer;[4] Vice Admiral[3] (undercover);[2] Head of G-5 (undercover);[3] Marine Captain (undercover, former)[5]","""Demon Bamboo"" Vergo (鬼竹のヴェルゴ, Kichiku no Verugo?)[7]",Deceased,,,G-5 (former),,,,Donquixote Pirates
Yarisugi,Chapter 673; Episode 599[1],Marines; G-5[1],Commodore[1],,Alive,,,,,,,Marines
Run,Chapter 679; Episode 605[1],Caesar Clown[1],Pirate (former)[1],"""Run the Machete"" (マチェーテのルン, Machēte no Run?)[1]",Alive,,,,,,,Caesar Clown 
Baby 5,Chapter 682; Episode 608[1],Happo Navy;[2] Chinjao Family;[3] Straw Hat Grand Fleet; Donquixote Pirates (defected),Pirate; Pirate Officer (former); Servant (former); Assassin (former),,Alive,24[5],,Kuen Village (former); Spider Miles (former); Dressrosa (former); Kano Country,Buki Buki no Mi,,24,Happo Navy
Gladius,Chapter 682; Episode 608[1],Donquixote Pirates[1],Pirate Officer[1],,Alive,33[2],"31,000,000[4]",Spider Miles (former); Dressrosa (former),Pamu Pamu no Mi,31000000.0,33,Donquixote Pirates 
Machvise,Chapter 682; Episode 608[2],Donquixote Pirates[1],Pirate Officer[1],,Alive,52[3],"11,000,000[5]",Spider Miles (former); Dressrosa (former),Ton Ton no Mi,11000000.0,52,Donquixote Pirates 
Lao G,Chapter 682; Episode 608[1],Donquixote Pirates[1],Pirate Officer[1],,Alive,70[2],"61,000,000[4]",Spider Miles (former); Dressrosa (former),,61000000.0,70,Donquixote Pirates 
Giolla,Chapter 682; Episode 608[1],Donquixote Pirates[1],Pirate Officer[1],,Alive,61[2],,Spider Miles (former); Dressrosa (former),Ato Ato no Mi,,61,Donquixote Pirates 
Sugar,Chapter 682; Episode 608[1],Donquixote Pirates[1],Pirate Special Officer[2],,Alive,22[3] (Physically 10)[3],,Dressrosa (former),Hobi Hobi no Mi[2],,22,Donquixote Pirates 
Ginko,Chapter 682; Episode 608[1],Punk Hazard,,,Alive,,,,,,,Punk Hazard
Kozuki Momonosuke,Chapter 684; Episode 609[2],Kozuki Family;[3] Ninja-Pirate-Mink-Samurai Alliance (disbanded),Shogun[4],,Alive,8[6] (born 28 years ago)  (biologically 28)[7],,Wano Country (Kuri),"Uo Uo no Mi, Model: Seiryu (Artificial)",,8,Kozuki Family
Candre,Chapter 557; Episode 466; One Piece Film: Z[1],Marines[1],Marine Officer[1],,Alive,Over 30[2],,,,,30,Marines 
Ain,Chapter 691 (cover);[1] Episode 575; Movie 12,Neo Marines; Marines (resigned)[1],Second-in-command of the Neo Marines[2][3] Marine Officer (former)[4],,Alive,,,,Modo Modo no Mi,,,Neo Marines
Binz,Chapter 691 (cover);[1] Episode 575; Movie 12,Neo Marines; Marines (former)[1],Marine Officer (former)[2],,Alive,,,,Mosa Mosa no Mi,,,Neo Marines
Donquixote Rosinante,Chapter 761; Episode 686,Marines;[1] Donquixote Pirates[2] (undercover);[3] World Government (former),Marine Commander;[1] Pirate Elite Officer[2] (undercover);[3] World Noble (former)[4],,Deceased,,,Mary Geoise (former)Spider Miles (former),Nagi Nagi no Mi,,,Marines
Z,Movie 12; Chapter 691 (cover); Episode 577[1],Neo Marines; Marines (former); G-5 (former),Neo Marines Commander-in-ChiefMarine Instructor (former)Marine Admiral (former),"Black Arm Zephyr (黒腕のゼファー, Kokuwan no Zefā?)[1]",Deceased,,,,,,,Neo Marines
Buffalo,Chapter 692; Episode 618[1],Donquixote Pirates,Pirate Officer; Assassin[1],,Alive,30[2],,Spider Miles (former); Dressrosa (former),Guru Guru no Mi,,30,Donquixote Pirates
Camel,Chapter 695; Episode 621[1],Kuzan,Kuzan's traveling companion,,Alive,,,,,,,Kuzan
Diamante,Chapter 700; Episode 629[1],Donquixote Pirates[1],Pirate Executive Officer; Colosseum Proprietor (former); Swordsman,,Alive,45[3],"99,000,000[2]",Spider Miles (former)Dressrosa (former),Hira Hira no Mi,99000000.0,45,Donquixote Pirates 
Trebol,Chapter 700; Episode 629[1],Donquixote Pirates[1],Pirate Executive Officer;[1] Staff Officer; Sugar's Bodyguard,,Alive,49[2],"99,000,000[4]",Spider Miles (former)Dressrosa (former),Beta Beta no Mi,99000000.0,49,Donquixote Pirates 
Pica,Chapter 700; Episode 629[1],Donquixote Pirates[1][2],Pirate Executive Officer,,Alive,40[4],"99,000,000[3]",Spider Miles (former)Dressrosa (former),Ishi Ishi no Mi,99000000.0,40,Donquixote Pirates  
Kurozumi Kanjuro,Chapter 700; Episode 629[1],Kurozumi Family;[2] Kozuki Family (undercover);[3] Nine Red Scabbards (undercover);[4] Ninja-Pirate-Mink-Samurai Alliance (undercover); Beasts Pirates (former),Theatre Performer (former);[2] Spy; Samurai; Retainer of the Kozuki Family (undercover)[3],"""Evening Shower"" (夕立ち, Yūdachi?);[7]Ghost of Kibi (希美の妖怪, Kibi no Yōkai?, VIZ Media: Goblin of Kibi)[6]",Deceased,,,Wano Country (Kuri)[5]Wano Country (Kibi) (Former)[6],Fude Fude no Mi,,,Kurozumi Family
Issho,Chapter 701; Episode 630[1],Marines[2][3],Admiral[3],,Alive,54[5],"(3,000,000,000)[6]",,Zushi Zushi no Mi,3000000000.0,54,Marines  
Mario,Chapter 701; Episode 630[1],,,,Alive,,,,,,,
Senor Pink,Chapter 702; Episode 632 [1],Donquixote Pirates[1],Pirate Officer;[1] Assassin[2],,Alive,46[3],"58,000,000[2]",Spider Miles (former); Dressrosa (former),Sui Sui no Mi,58000000.0,46,Donquixote Pirates 
Dellinger,Chapter 702; Episode 632[1],Donquixote Pirates[1],Pirate Officer[1],,Alive,16[2],"15,000,000[4]",Spider Miles (former); Dressrosa (former),,15000000.0,16,Donquixote Pirates 
Gatz,Chapter 702; Episode 631[1],Corrida Colosseum[1],Announcer[1],,Alive,,,,,,,Corrida Colosseum 
Kyros,Chapter 702; Episode 631[1],Corrida Colosseum (former); Riku Royal Army,Gladiator (former); Riku Royal Army Captain (former),,Alive,44 (chronologically)[3]34 (biologically),Unknown (as Thunder Soldier)[5],,,,44,Corrida Colosseum  
Wicca,Chapter 705; Episode 635[1],Tontatta Tribe Scouting Unit[2]Straw Hat Grand Fleet,Scout[2]; Pirate[3],,Alive,27[4],,,,,27,Tontatta Tribe Scouting Unit Straw Hat Grand Fleet
Gaburu,Chapter 702 cover; Episode 921 (image)[1],Unknown rebel group,Revolutionist Commander,"""Revolution's Child"" (革命の子, Kakumei no ko?)",Deceased,,,,,,,Unknown rebel group
Viola,Chapter 703; Episode 632[1],Riku Family[1]; Donquixote Pirates[2](defected),Princess of Dressrosa; Pirate Officer (former);[2] Assassin (former);[2] Dancer;[1],,Alive,29[4],,,Giro Giro no Mi,,29,Riku Family 
Spartan,Chapter 703; Episode 633[1],Corrida Colosseum[1],Gladiator[1],,Alive,,,,,,,Corrida Colosseum 
